sample_id,node_id,target_start,horizon,observed_hours,stored_y_true,recomputed_window_mean,absolute_difference,match_tolerance_1e-5
2762844,N027,2026-02-26 00:00:00,3,3,100.0,100.0,0.0,True
2763072,N027,2026-02-28 09:00:00,3,3,100.0,100.0,0.0,True
2973664,N029,2026-02-20 05:00:00,3,3,98.0,98.0,0.0,True
2973896,N029,2026-02-22 15:00:00,3,3,94.33333587646484,94.33333333333333,2.5431315151536182e-06,True
2974044,N029,2026-02-24 04:00:00,3,3,98.0,98.0,0.0,True
3080104,N030,2026-02-28 01:00:00,3,3,98.0,98.0,0.0,True
3185196,N031,2026-02-21 20:00:00,3,3,100.0,100.0,0.0,True
3185336,N031,2026-02-23 07:00:00,3,3,100.0,100.0,0.0,True
3185608,N031,2026-02-26 03:00:00,3,3,100.0,100.0,0.0,True
3185656,N031,2026-02-26 15:00:00,3,3,100.0,100.0,0.0,True
3185672,N031,2026-02-26 19:00:00,3,3,94.0,94.0,0.0,True
3290732,N032,2026-02-20 06:00:00,3,3,100.0,100.0,0.0,True
3291164,N032,2026-02-24 18:00:00,3,3,100.0,100.0,0.0,True
3291392,N032,2026-02-27 03:00:00,3,3,100.0,100.0,0.0,True
3502036,N034,2026-02-19 12:00:00,3,3,100.0,100.0,0.0,True
3502184,N034,2026-02-21 01:00:00,3,3,100.0,100.0,0.0,True
3502448,N034,2026-02-23 19:00:00,3,3,100.0,100.0,0.0,True
3502504,N034,2026-02-24 09:00:00,3,3,100.0,100.0,0.0,True
3502664,N034,2026-02-26 01:00:00,3,3,98.16666412353516,98.16666666666667,2.5431315151536182e-06,True
3502844,N034,2026-02-27 22:00:00,3,3,90.58333587646484,90.58333333333333,2.5431315151536182e-06,True
3713456,N036,2026-02-19 23:00:00,3,3,100.0,100.0,0.0,True
3713772,N036,2026-02-23 06:00:00,3,3,100.0,100.0,0.0,True
3713892,N036,2026-02-24 12:00:00,3,3,100.0,100.0,0.0,True
3714296,N036,2026-02-28 17:00:00,3,3,100.0,100.0,0.0,True
3819528,N037,2026-02-23 23:00:00,3,3,100.0,100.0,0.0,True
3924808,N038,2026-02-19 17:00:00,3,3,100.0,100.0,0.0,True
3925372,N038,2026-02-25 14:00:00,3,3,100.0,100.0,0.0,True
3925560,N038,2026-02-27 13:00:00,3,3,100.0,100.0,0.0,True
4031156,N039,2026-02-26 14:00:00,3,3,100.0,100.0,0.0,True
4031280,N039,2026-02-27 21:00:00,3,3,97.66666412353516,97.66666666666667,2.5431315151536182e-06,True
4136532,N040,2026-02-23 08:00:00,3,3,100.0,100.0,0.0,True
4136932,N040,2026-02-27 12:00:00,3,3,100.0,100.0,0.0,True
4347608,N042,2026-02-20 05:00:00,3,3,70.66666412353516,70.66666666666667,2.5431315151536182e-06,True
4347908,N042,2026-02-23 08:00:00,3,3,65.33333587646484,65.33333333333333,2.5431315151536182e-06,True
4348064,N042,2026-02-24 23:00:00,3,3,78.0,78.0,0.0,True
4454012,N043,2026-02-27 16:00:00,3,3,56.97222137451172,56.97222222222223,8.477105097881577e-07,True
4559256,N044,2026-02-23 01:00:00,3,3,78.0,78.0,0.0,True
4559480,N044,2026-02-25 09:00:00,3,3,67.77777862548828,67.77777777777777,8.477105097881577e-07,True
