prediction_file,model,horizon,seed,original_N,boundary_excluded_N,canonical_complete_hour_N,original_MAE,canonical_complete_hour_MAE,MAE_change_after_boundary_exclusion,original_RMSE,canonical_complete_hour_RMSE,original_sMAPE,canonical_complete_hour_sMAPE,original_R2,canonical_complete_hour_R2,original_Bias,canonical_complete_hour_Bias,canonical_sample_boundary_match
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed2024.parquet,SeasonalHA,3,2024,11878,0,11878,1.015958182557622,1.015958182557622,0.0,1.943902548137346,1.943902548137346,0.013636072549114078,0.013636072549114078,0.9849921359505057,0.9849921359505057,-0.18045454158548516,-0.18045454158548516,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed2025.parquet,SeasonalHA,3,2025,11878,0,11878,1.015958182557622,1.015958182557622,0.0,1.943902548137346,1.943902548137346,0.013636072549114078,0.013636072549114078,0.9849921359505057,0.9849921359505057,-0.18045454158548516,-0.18045454158548516,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed2026.parquet,SeasonalHA,3,2026,11878,0,11878,1.015958182557622,1.015958182557622,0.0,1.943902548137346,1.943902548137346,0.013636072549114078,0.013636072549114078,0.9849921359505057,0.9849921359505057,-0.18045454158548516,-0.18045454158548516,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed3407.parquet,SeasonalHA,3,3407,11878,0,11878,1.015958182557622,1.015958182557622,0.0,1.943902548137346,1.943902548137346,0.013636072549114078,0.013636072549114078,0.9849921359505057,0.9849921359505057,-0.18045454158548516,-0.18045454158548516,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed42.parquet,SeasonalHA,3,42,11878,0,11878,1.015958182557622,1.015958182557622,0.0,1.943902548137346,1.943902548137346,0.013636072549114078,0.013636072549114078,0.9849921359505057,0.9849921359505057,-0.18045454158548516,-0.18045454158548516,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed2024.parquet,SeasonalHA,6,2024,12166,51,12115,0.9103676185940277,0.90660400390625,-0.00376361468777775,1.5415282255127518,1.538562329735063,0.012065634145090065,0.012026240460528742,0.9905612302299055,0.9906030777108957,-0.16964441550595186,-0.16341168966068986,False
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed2025.parquet,SeasonalHA,6,2025,12166,51,12115,0.9103676185940277,0.90660400390625,-0.00376361468777775,1.5415282255127518,1.538562329735063,0.012065634145090065,0.012026240460528742,0.9905612302299055,0.9906030777108957,-0.16964441550595186,-0.16341168966068986,False
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed2026.parquet,SeasonalHA,6,2026,12166,51,12115,0.9103676185940277,0.90660400390625,-0.00376361468777775,1.5415282255127518,1.538562329735063,0.012065634145090065,0.012026240460528742,0.9905612302299055,0.9906030777108957,-0.16964441550595186,-0.16341168966068986,False
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed3407.parquet,SeasonalHA,6,3407,12166,51,12115,0.9103676185940277,0.90660400390625,-0.00376361468777775,1.5415282255127518,1.538562329735063,0.012065634145090065,0.012026240460528742,0.9905612302299055,0.9906030777108957,-0.16964441550595186,-0.16341168966068986,False
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed42.parquet,SeasonalHA,6,42,12166,51,12115,0.9103676185940277,0.90660400390625,-0.00376361468777775,1.5415282255127518,1.538562329735063,0.012065634145090065,0.012026240460528742,0.9905612302299055,0.9906030777108957,-0.16964441550595186,-0.16341168966068986,False
