model,fold,horizon,calendar_day,spatial_block,n,MAE,RMSE,sMAPE
HA,1,6,2026-01-22,3,87,0.44095672958198634,0.49275387592634773,0.44324792257216966
HA,1,6,2026-01-22,4,101,2.523244614805719,3.4917093722480184,3.4031832183401693
HA,1,6,2026-01-22,5,80,5.069245436986288,5.985537114804525,8.813236749753715
HA,1,6,2026-01-23,1,133,0.2833636291044995,0.2926265989495593,0.3117642297320181
HA,1,6,2026-01-23,2,134,0.42755497035695544,0.5431394855118297,0.43799861217102826
HA,1,6,2026-01-23,3,144,0.47808636559380424,0.5345349137554449,0.480480378480861
HA,1,6,2026-01-23,4,152,2.039211228577017,3.072887791234253,2.6737879261941155
HA,1,6,2026-01-23,5,90,4.8765031169373305,5.720680000026695,8.902371931741326
HA,1,6,2026-01-24,1,161,0.8371504220903289,1.4260788866380072,0.9250886216214216
HA,1,6,2026-01-24,2,157,1.0212429016933995,1.744589733882211,1.0656061379774262
HA,1,6,2026-01-24,3,115,1.1467905665595746,1.844519655447598,1.1795667576740418
HA,1,6,2026-01-24,4,139,2.9949208382317583,4.347250248873427,3.7733996738903777
HA,1,6,2026-01-24,5,97,6.395145923138212,7.444694705838471,12.96569412176511
HA,1,6,2026-01-25,1,84,0.26392954871768043,0.2756106284718696,0.29060068123636473
HA,1,6,2026-01-25,2,43,1.8066283943117134,2.6718022950887406,1.882378097353077
HA,1,6,2026-01-25,3,82,1.9585561116536454,2.444170908277445,2.0030610406850693
HA,1,6,2026-01-25,4,73,2.139018256479202,3.419651425212193,2.8998829336002503
HA,1,6,2026-01-25,5,32,6.325388701756795,7.084031968408627,11.746788140622126
HA,2,1,2026-01-26,1,187,0.33059772620651595,0.8542397832726958,0.36523659043040785
HA,2,1,2026-01-26,2,183,0.5760690657818903,1.402610869942083,0.5997866313171183
HA,2,1,2026-01-26,3,189,0.7380059862893725,1.7759911757290903,0.7571653679960442
HA,2,1,2026-01-26,4,191,2.519484288613418,4.077257674942752,3.2897939471911273
HA,2,1,2026-01-26,5,125,7.00689619954427,8.353432379099143,14.186586249477543
HA,2,1,2026-01-27,1,178,0.2412006078141459,0.2572605269786044,0.26543903864563667
HA,2,1,2026-01-27,2,172,0.4392688366793847,0.6255831817692002,0.45022597752370586
HA,2,1,2026-01-27,3,183,0.45616816953231726,0.509713722769217,0.4586296774128063
HA,2,1,2026-01-27,4,195,2.177025636852297,3.505561702162713,2.8575434757307034
HA,2,1,2026-01-27,5,119,6.193543794776211,7.389142012610877,11.895321292952609
HA,2,1,2026-01-28,1,199,0.26601449528730897,0.4080518374482442,0.29283506480873517
HA,2,1,2026-01-28,2,195,0.4571414914905515,0.8472122957070432,0.4709021514566493
HA,2,1,2026-01-28,3,199,0.4507997215692721,0.5042020751745142,0.4533121511172631
HA,2,1,2026-01-28,4,198,2.3262993269897874,3.7337500331142515,3.0659869735869596
HA,2,1,2026-01-28,5,118,5.488903918508756,6.540431031176282,10.252437619988807
HA,2,1,2026-01-29,1,198,0.27917751479229136,0.39863872919555754,0.30830514223763367
HA,2,1,2026-01-29,2,192,0.5934047301610311,1.433671448161276,0.6162194498910298
HA,2,1,2026-01-29,3,200,0.6818838119506836,1.6654992261507582,0.6999096310432857
HA,2,1,2026-01-29,4,195,2.500761191865318,3.9452708518259016,3.2600325963551464
HA,2,1,2026-01-29,5,124,5.861781489464544,6.90224774623203,10.695269796429878
HA,2,1,2026-01-30,1,221,0.2514185495506045,0.2639764686997908,0.2769645412509568
HA,2,1,2026-01-30,2,216,0.48078974971064814,0.9934307096969,0.49702374313990855
HA,2,1,2026-01-30,3,218,0.4498612873415699,0.5031186152065162,0.4523652736559073
HA,2,1,2026-01-30,4,194,2.5984772095565534,4.039255407619468,3.3846659715875393
HA,2,1,2026-01-30,5,144,6.088635974460178,7.189711992466461,11.411104497483578
HA,2,1,2026-01-31,1,225,0.35053678159360535,0.9655820104153187,0.3930696653290577
HA,2,1,2026-01-31,2,225,0.673853205928096,1.722409659028456,0.7045045695486915
HA,2,1,2026-01-31,3,231,0.7809566481288893,1.8244242793239929,0.8033133119403869
HA,2,1,2026-01-31,4,219,2.5949520651063964,4.14832865041421,3.482638079400075
HA,2,1,2026-01-31,5,144,6.970389975441827,8.052006704496161,13.426390412649837
HA,2,1,2026-02-01,1,202,0.5785806234126831,1.8420760716518085,0.6634738049959524
HA,2,1,2026-02-01,2,210,0.5252789451962425,1.073399633670187,0.5427995298294832
HA,2,1,2026-02-01,3,211,0.46358681629054355,0.5495633540414046,0.466627573661732
HA,2,1,2026-02-01,4,214,3.4698585557789072,5.647160349976348,4.832835363091763
HA,2,1,2026-02-01,5,126,8.837678001040505,9.728943002056258,16.51438072160318
HA,2,3,2026-01-26,1,92,0.26768546173537994,0.39390775598778216,0.2940011569493118
HA,2,3,2026-01-26,2,85,0.40104693244485295,0.5859484191958306,0.4115866131883955
HA,2,3,2026-01-26,3,95,0.8695909198961759,1.29843738747751,0.8809751321374865
HA,2,3,2026-01-26,4,102,1.9745904760423054,3.2526415277224023,2.50332303519222
HA,2,3,2026-01-26,5,72,6.669692057150382,8.097077499430178,14.666354633923028
HA,2,3,2026-01-27,1,74,0.2307845450736381,0.24563158214038106,0.2536132443740314
HA,2,3,2026-01-27,2,71,0.3866311731472821,0.48382370610797215,0.3950447838182492
HA,2,3,2026-01-27,3,82,0.5019941562559547,0.5588321582170604,0.5043106948143714
HA,2,3,2026-01-27,4,112,2.329676832471575,3.556076924729621,3.0987301175865802
HA,2,3,2026-01-27,5,57,5.693471629717196,6.724091960640845,11.707196206048287
HA,2,3,2026-01-28,1,115,0.23736557522833637,0.2747351341655716,0.2608461380739372
HA,2,3,2026-01-28,2,108,0.4279179749665437,0.597040330563551,0.43836070275352973
HA,2,3,2026-01-28,3,114,0.44510965179978756,0.4999404686928457,0.4474116989656118
HA,2,3,2026-01-28,4,109,1.887867358846402,3.1249905489980287,2.449167523476789
HA,2,3,2026-01-28,5,64,4.638178341918521,5.444245223000657,8.716459199216484
HA,2,3,2026-01-29,1,125,0.25266107177734376,0.2801670311169458,0.27892084221540686
HA,2,3,2026-01-29,2,94,0.4822696658736426,0.7447178871940396,0.49535110703496893
HA,2,3,2026-01-29,3,121,0.6315209815215365,0.9718523192419469,0.638143051161178
HA,2,3,2026-01-29,4,103,2.7258742578335697,3.9245552862173088,3.535453875519481
HA,2,3,2026-01-29,5,64,5.260964281029171,6.127584615810145,9.162103678350933
HA,2,3,2026-01-30,1,157,0.24302197110121418,0.2536907736115075,0.2677965954783676
HA,2,3,2026-01-30,2,151,0.35696161872240606,0.5047981075711567,0.3675936789535209
HA,2,3,2026-01-30,3,147,0.4602323086623972,0.5189115481382482,0.46257883992961446
HA,2,3,2026-01-30,4,99,2.4732329842752616,3.653029377575731,3.247824178166624
HA,2,3,2026-01-30,5,107,5.7129239431917975,6.705421456772906,10.3882742910624
HA,2,3,2026-01-31,1,159,0.28354586128752013,0.4104614531411298,0.31382221393565535
HA,2,3,2026-01-31,2,158,0.6166495042846509,1.24350989131092,0.6378629278440653
HA,2,3,2026-01-31,3,175,0.6565108477880086,0.9628293477036368,0.6651941756005705
HA,2,3,2026-01-31,4,148,2.3043422412585928,3.7115195282934024,3.0785803806883436
HA,2,3,2026-01-31,5,99,6.812933167223177,7.767299533854956,13.097792042160997
HA,2,3,2026-02-01,1,105,0.5347423089244379,1.0713822418495225,0.5991162338363976
HA,2,3,2026-02-01,2,128,0.44629855950673436,0.6311365146274268,0.4581835613384136
HA,2,3,2026-02-01,3,128,0.469426989555359,0.5245224319267258,0.47204508316798127
HA,2,3,2026-02-01,4,146,3.259573287615493,5.253870809784977,4.589483157667285
HA,2,3,2026-02-01,5,70,8.428543659997366,9.215810781757991,15.54494786513165
HA,2,6,2026-01-26,1,112,0.2934557596842448,0.3856194867990829,0.32146973409930296
HA,2,6,2026-01-26,2,98,0.3980245162029658,0.5365557222060331,0.4070077670258754
HA,2,6,2026-01-26,3,117,0.7097594910537417,0.9339990868917624,0.7162036501027736
HA,2,6,2026-01-26,4,124,1.738041939957595,2.872285281722473,2.2118438675502623
HA,2,6,2026-01-26,5,102,5.991525368285335,7.328431818870498,13.064011756316603
HA,2,6,2026-01-27,1,83,0.2141643662050546,0.2359284395988308,0.2356024889873231
HA,2,6,2026-01-27,2,88,0.39476263450853755,0.48969718199889967,0.4031626266177071
HA,2,6,2026-01-27,3,99,0.47199719361584597,0.5303256966903402,0.47426116972025206
HA,2,6,2026-01-27,4,139,2.049896661040308,3.087948714185039,2.7093446226483837
HA,2,6,2026-01-27,5,67,4.070236039043067,4.865393024758939,8.163793739967085
HA,2,6,2026-01-28,1,139,0.2414715310271314,0.2611290076653107,0.2659252457911898
HA,2,6,2026-01-28,2,145,0.34910557889390265,0.45162856488334924,0.35825594446922054
HA,2,6,2026-01-28,3,145,0.41260433854727907,0.46413568119812076,0.4147328253947111
HA,2,6,2026-01-28,4,136,1.6749060624565175,2.6150469743647458,2.1838179319766002
HA,2,6,2026-01-28,5,85,3.935828876370699,4.588278408254207,7.082447436999301
HA,2,6,2026-01-29,1,161,0.22365541741138817,0.24051663520730684,0.2457538528224842
HA,2,6,2026-01-29,2,130,0.40555858905498793,0.53957239038454,0.41645038197270245
HA,2,6,2026-01-29,3,142,0.5829437005128103,0.7184612163267018,0.5872851710906241
HA,2,6,2026-01-29,4,143,2.4149623690044217,3.460579127339393,3.131148692135587
HA,2,6,2026-01-29,5,92,4.463429543131214,5.542996645865828,7.561379164160039
HA,2,6,2026-01-30,1,199,0.2519410099815484,0.26018331487985846,0.2777292716654022
HA,2,6,2026-01-30,2,195,0.3204712896537233,0.40527048206623995,0.3299326635608107
HA,2,6,2026-01-30,3,192,0.442134075694614,0.4990871745723145,0.4443951168215006
HA,2,6,2026-01-30,4,139,2.10878779032438,3.2376313543060653,2.793395491018949
HA,2,6,2026-01-30,5,135,4.781713570802791,5.589397549761227,8.647103668522895
HA,2,6,2026-01-31,1,207,0.2982689358377995,0.40322820005123017,0.33014390380677655
