model,fold,horizon,forecast_origin,n,MAE,RMSE,sMAPE
XGBoost,2,6,2026-01-27 14:00:00,21,0.5168925895892758,0.695729557888866,0.6381617666505998
XGBoost,2,6,2026-01-27 15:00:00,20,0.7606234486897789,1.179591756865684,0.9329335846893445
XGBoost,2,6,2026-01-27 16:00:00,18,0.9794112028899011,1.3467644935397238,1.2091816060990155
XGBoost,2,6,2026-01-27 17:00:00,18,0.9853608166729967,1.3687351946838615,1.1663062870170788
XGBoost,2,6,2026-01-27 18:00:00,19,0.7501054194935584,0.9790773638679847,0.8289775782622123
XGBoost,2,6,2026-01-27 19:00:00,17,0.47158243515912207,0.6403052231313272,0.5278106677754976
XGBoost,2,6,2026-01-27 20:00:00,17,0.20967027252795647,0.27497158986738207,0.23415842255001837
XGBoost,2,6,2026-01-27 21:00:00,18,0.15404376277217158,0.18660620736406444,0.16967108574224732
XGBoost,2,6,2026-01-27 22:00:00,16,0.1238552729288737,0.17966474884789385,0.13393689467945807
XGBoost,2,6,2026-01-27 23:00:00,25,0.1253642476399739,0.25071876215743355,0.13383248296943334
XGBoost,2,6,2026-01-28 00:00:00,26,0.22693979312212045,0.5017430034294307,0.27919398490111536
XGBoost,2,6,2026-01-28 01:00:00,28,0.45163328079950166,0.8913638868440185,0.5718409220693715
XGBoost,2,6,2026-01-28 02:00:00,20,0.32184529622395786,0.8515521354647879,0.4250827141316438
XGBoost,2,6,2026-01-28 03:00:00,21,0.44541770087348037,0.8738773870770673,0.7792507120523556
XGBoost,2,6,2026-01-28 04:00:00,26,0.2562664390629169,0.5180519682321039,0.41016616764085617
XGBoost,2,6,2026-01-28 05:00:00,20,0.4364696121215827,0.8937214599046731,0.9059645368547345
XGBoost,2,6,2026-01-28 06:00:00,20,0.20992134094238252,0.41661685652870173,0.25930082475008936
XGBoost,2,6,2026-01-28 07:00:00,24,0.2347852777551728,0.5756728586688213,0.2942932699528225
XGBoost,2,6,2026-01-28 08:00:00,24,0.21903330838238752,0.45253668067486325,0.44817520890770696
XGBoost,2,6,2026-01-28 09:00:00,25,0.17542915513780385,0.33203405128542773,0.331805886400568
XGBoost,2,6,2026-01-28 10:00:00,31,0.1576660584662832,0.26776872536972374,0.22024617903235236
XGBoost,2,6,2026-01-28 11:00:00,35,0.1925509667774996,0.32347082899296997,0.26218620102619283
XGBoost,2,6,2026-01-28 12:00:00,30,0.2451596172945005,0.3826363913055898,0.3363412212653781
XGBoost,2,6,2026-01-28 13:00:00,32,0.24408943123287527,0.34470458899606693,0.31437234538971726
XGBoost,2,6,2026-01-28 14:00:00,34,0.4471397549498313,0.5980476640710907,0.5776555675018207
XGBoost,2,6,2026-01-28 15:00:00,36,0.6327203067732442,0.8351996085245807,0.8361266816701763
XGBoost,2,6,2026-01-28 16:00:00,29,0.6022012060172713,0.8252671236599431,0.7205225061649929
XGBoost,2,6,2026-01-28 17:00:00,28,0.6148808888026643,0.7709588570666709,0.6884839175494998
XGBoost,2,6,2026-01-28 18:00:00,33,0.5801068726613469,0.7387373043619766,0.6526676051526729
XGBoost,2,6,2026-01-28 19:00:00,27,0.6215573534553434,0.7923037207192044,0.7047801220523139
XGBoost,2,6,2026-01-28 20:00:00,27,0.42118657325357406,0.540040687539866,0.4500088685299975
XGBoost,2,6,2026-01-28 21:00:00,22,0.286574277010831,0.40778514770936547,0.30408814570846965
XGBoost,2,6,2026-01-28 22:00:00,24,0.2168800565931532,0.33086782091635014,0.2241689260144074
XGBoost,2,6,2026-01-28 23:00:00,28,0.24498900761679937,0.4876085682052308,0.27694892563898316
XGBoost,2,6,2026-01-29 00:00:00,30,0.4190618839970346,0.940546457582976,0.5136587980479237
XGBoost,2,6,2026-01-29 01:00:00,30,0.5117662528709135,1.2714107030906923,0.6326062256682016
XGBoost,2,6,2026-01-29 02:00:00,28,0.5759160268874395,1.2096576401096288,0.7589688725709759
XGBoost,2,6,2026-01-29 03:00:00,34,0.485686335844152,1.110752786172047,0.9584451928471729
XGBoost,2,6,2026-01-29 04:00:00,32,0.33679873148600276,0.618492132256303,0.541659612006373
XGBoost,2,6,2026-01-29 05:00:00,27,0.5007469020262659,0.8102886814948695,0.6610913853966378
XGBoost,2,6,2026-01-29 06:00:00,24,0.4484191647282339,0.8902950929423507,0.5702490028270928
XGBoost,2,6,2026-01-29 07:00:00,19,0.6740992138957411,1.18839557596227,0.996232859701302
XGBoost,2,6,2026-01-29 08:00:00,21,0.6009829808795261,0.9980801665097794,0.8318100717051432
XGBoost,2,6,2026-01-29 09:00:00,16,0.5618836720784509,0.8550737667556485,0.7792248395156104
XGBoost,2,6,2026-01-29 10:00:00,16,0.56781218846639,0.9411409930860342,0.6080367549879394
XGBoost,2,6,2026-01-29 11:00:00,13,0.2905815711388212,0.3890006109355364,0.3181013392615482
XGBoost,2,6,2026-01-29 12:00:00,19,0.3662962350231864,0.4402568775810349,0.4108565921491936
XGBoost,2,6,2026-01-29 13:00:00,20,0.41375036875406945,0.505175383389982,0.4812972498643848
XGBoost,2,6,2026-01-29 14:00:00,21,0.8235967605833017,0.9282371154445369,0.916653699699745
XGBoost,2,6,2026-01-29 15:00:00,24,0.9083673901028101,1.041722387437058,1.002294028478884
XGBoost,2,6,2026-01-29 16:00:00,33,1.112426164415147,1.3588136051797322,1.5595576432720133
XGBoost,2,6,2026-01-29 17:00:00,31,0.9543209527128483,1.1943984704088086,1.1040095675783264
XGBoost,2,6,2026-01-29 18:00:00,31,0.8544465095766133,1.0222431171633382,1.0102408803940697
XGBoost,2,6,2026-01-29 19:00:00,31,1.068866262128276,1.4939087459065101,1.1845859773906111
XGBoost,2,6,2026-01-29 20:00:00,38,0.6543802294814792,1.0612849547851964,0.8149890068387624
XGBoost,2,6,2026-01-29 21:00:00,41,0.5056918839452064,0.8922450412851219,0.6440247359947381
XGBoost,2,6,2026-01-29 22:00:00,42,0.2910858981823789,0.6588270130206102,0.37804777985200794
XGBoost,2,6,2026-01-29 23:00:00,47,0.17561523341305893,0.43001500846317353,0.1959064805862574
XGBoost,2,6,2026-01-30 00:00:00,44,0.35906649759722903,0.6436818104890707,0.4146703701474269
XGBoost,2,6,2026-01-30 01:00:00,39,0.3132844640545234,0.5223484981000993,0.4112551016663081
XGBoost,2,6,2026-01-30 02:00:00,42,0.26113856078455644,0.46481969136627044,0.3539613642479213
XGBoost,2,6,2026-01-30 03:00:00,44,0.31543662909305387,0.573897257489794,0.4454165642935342
XGBoost,2,6,2026-01-30 04:00:00,45,0.36129609096197346,0.7091636880205063,0.4803500883082535
XGBoost,2,6,2026-01-30 05:00:00,46,0.47240135819439644,0.8063728287092847,0.6200416607536373
XGBoost,2,6,2026-01-30 06:00:00,41,0.436096511192976,0.9626184791174673,0.5272712199318492
XGBoost,2,6,2026-01-30 07:00:00,43,0.3387410974625779,0.6692233771909388,0.41086056588684444
XGBoost,2,6,2026-01-30 08:00:00,39,0.33611373031920533,0.6601189848815239,0.42772985925575996
XGBoost,2,6,2026-01-30 09:00:00,36,0.35068434020619355,0.6853251318711512,0.5315453543916265
XGBoost,2,6,2026-01-30 10:00:00,28,0.43728410629999026,0.8797941468495372,0.7483833766539485
XGBoost,2,6,2026-01-30 11:00:00,23,0.32814700361611226,0.7003052320125576,0.6874932811279816
XGBoost,2,6,2026-01-30 12:00:00,27,0.4350589077168526,0.8236522830888842,0.741802889777342
XGBoost,2,6,2026-01-30 13:00:00,22,0.595011543505119,0.9816743873458339,0.9986722910529005
XGBoost,2,6,2026-01-30 14:00:00,27,0.6675434693387513,1.0239980623187717,1.0680074708504483
XGBoost,2,6,2026-01-30 15:00:00,29,0.7336568898168104,1.1137493765702666,1.1121853941672437
XGBoost,2,6,2026-01-30 16:00:00,32,0.7520271380742395,1.1733661338251287,1.0135566810773229
XGBoost,2,6,2026-01-30 17:00:00,33,0.7359283961029564,1.157095040513023,0.9574091941754718
XGBoost,2,6,2026-01-30 18:00:00,32,0.6678049458397758,0.9934587463834358,0.8062662796621064
XGBoost,2,6,2026-01-30 19:00:00,36,0.4255286605269823,0.6453582661164318,0.49258349691684145
XGBoost,2,6,2026-01-30 20:00:00,34,0.37519683837890605,0.6726659590102314,0.4816258642092078
XGBoost,2,6,2026-01-30 21:00:00,34,0.2206611932492728,0.3311543681235622,0.23300916036590436
XGBoost,2,6,2026-01-30 22:00:00,43,0.19994327831021888,0.29138316855995927,0.21774024062340278
XGBoost,2,6,2026-01-30 23:00:00,41,0.19062811378541034,0.354780834320053,0.2317559651414313
XGBoost,2,6,2026-01-31 00:00:00,33,0.28290792908331364,0.5861664562046927,0.3975308856870813
XGBoost,2,6,2026-01-31 01:00:00,30,0.18567732069227405,0.3307628505706641,0.21473701492480027
XGBoost,2,6,2026-01-31 02:00:00,33,0.22027526495834018,0.33950625976254695,0.2583220175540603
XGBoost,2,6,2026-01-31 03:00:00,32,0.29883818096584785,0.5071569033305754,0.3468357643249616
