model,fold,horizon,n,MAE,MSE,sMAPE,mean_prediction,mean_truth,RMSE,bias
XGBoost,2,1,6540,0.7941640350310689,3.080811226017641,1.1439197392540166,88.95648043182405,89.05603975535168,1.7552239817235977,-0.09955932352762886
XGBoost,2,3,3836,0.6865600980327667,2.1577023781560594,0.9884100939464018,89.13774217347698,89.08439781021897,1.4689119708668927,0.053344363258005956
XGBoost,2,6,4824,0.6537238160981482,1.7306578989020374,0.9411843778227313,89.03246855300853,88.95148677906764,1.3155447156604132,0.08098177394089134
XGBoost,3,1,7164,0.6400033923708274,2.322327857706106,0.9287301076920051,88.89296879068158,89.02206635026987,1.5239185863116527,-0.1290975595882884
XGBoost,3,3,5027,0.6043939147164071,1.3802193578462154,0.8548323291454947,88.81377818462553,88.97483036049776,1.1748273736367465,-0.16105217587222853
XGBoost,3,6,6233,0.5436532355982086,0.9293415035643202,0.7536756182548934,88.85860926404064,89.0177678842006,0.9640236011448684,-0.15915862015995685
XGBoost,4,1,6357,1.0062497688231982,6.453187010893751,1.4098641582482312,88.50201002961781,88.59312568821771,2.5403123845097775,-0.09111565859990378
XGBoost,4,3,4171,1.026437939045888,5.85135387037677,1.5411272395043156,88.54969884359816,88.38855590186206,2.4189571865530755,0.16114294173610233
XGBoost,4,6,4770,0.9265481673006001,2.875908152739469,1.3351334706858695,88.26183295819745,88.15620545073375,1.6958502742693615,0.10562750746369431
XGBoost,5,1,5526,1.3381332437806188,6.626211260898312,1.7462169923840658,88.51821378339027,89.02678248280854,2.574142820610059,-0.5085686994182765
XGBoost,5,3,3286,0.9465970560716515,4.973536882264752,1.3179744794421837,89.26715650227617,89.29975654290931,2.230142794142284,-0.0326000406331417
XGBoost,5,6,3689,0.8141550118107682,2.378153049878255,1.1413035668323228,89.07943896173602,89.18385666094395,1.5421261459031992,-0.10441769920792865
XGBoost,6,1,6636,0.7884830423500349,4.10233153611616,1.0936421868682276,89.10003750137903,89.16141752059472,2.0254213231118507,-0.06138001921569014
XGBoost,6,3,5566,0.7643382945809355,2.6043663136096553,1.0493606097777595,89.14438671071396,89.23540743402403,1.6138049180770442,-0.09102072331006639
XGBoost,6,6,6114,0.7106025932939729,1.8409051282065194,0.9712124121042582,89.08092770957595,89.17997537527714,1.3567995902883077,-0.0990476657011925
